fold,epoch,lr,train_loss,train_acc,val_loss,val_acc,val_f1,val_auc,val_sens,val_spec,val_prec,val_npv,val_mcc,val_kappa,epoch_time_s
2,15,7.939e-05,0.064439,0.977052,0.095796,0.966311,0.967114,0.997244,0.991059,0.941581,0.944299,0.9906,0.933769,0.932624,44.2
2,16,7.679e-05,0.053773,0.979201,0.107762,0.964593,0.965285,0.995712,0.984869,0.94433,0.946464,0.984241,0.929952,0.929186,45.58
2,17,7.409e-05,0.057255,0.98049,0.086237,0.967686,0.968329,0.997712,0.988308,0.947079,0.949141,0.987814,0.936171,0.935374,43.78
2,18,7.129e-05,0.051505,0.980662,0.090996,0.967686,0.96852,0.998112,0.994498,0.940893,0.943864,0.99419,0.936722,0.935374,43.93
2,19,6.841e-05,0.044963,0.983326,0.099192,0.966311,0.96718,0.998031,0.993122,0.939519,0.942559,0.992738,0.933968,0.932624,43.87
2,20,6.545e-05,0.042471,0.984272,0.100445,0.965968,0.966901,0.998468,0.994498,0.937457,0.940794,0.994169,0.933458,0.931937,43.57
2,21,6.243e-05,0.03526,0.987366,0.162756,0.947061,0.949409,0.996999,0.99381,0.900344,0.908805,0.993177,0.898059,0.894125,43.96
2,22,5.937e-05,0.039686,0.985389,0.088252,0.966999,0.96785,0.99852,0.99381,0.940206,0.943211,0.993464,0.935345,0.933999,43.54
2,23,5.627e-05,0.035463,0.987194,0.072988,0.974905,0.97533,0.999007,0.992435,0.957388,0.958804,0.992165,0.950396,0.949812,44.04
2,24,5.314e-05,0.029536,0.989257,0.094832,0.964936,0.965886,0.998238,0.993122,0.93677,0.940104,0.992717,0.931355,0.929874,43.59
2,25,5e-05,0.031339,0.988999,0.065917,0.976624,0.97698,0.998845,0.992435,0.960825,0.962,0.992193,0.953726,0.953249,43.87
2,26,4.686e-05,0.02854,0.988999,0.067184,0.977999,0.978334,0.999174,0.99381,0.962199,0.963333,0.993612,0.956478,0.955999,43.52
2,27,4.373e-05,0.022275,0.991319,0.051988,0.981781,0.982003,0.999326,0.994498,0.969072,0.969819,0.994358,0.963874,0.963562,43.68
2,28,4.063e-05,0.019342,0.992093,0.064105,0.978343,0.978622,0.998864,0.991747,0.964948,0.965841,0.991525,0.957031,0.956687,45.59
2,29,3.757e-05,0.02366,0.992007,0.071452,0.973874,0.974411,0.999039,0.995186,0.952577,0.954485,0.994975,0.948611,0.947749,44.18
2,30,3.455e-05,0.016319,0.994757,0.07541,0.979031,0.979385,0.999079,0.996561,0.961512,0.962791,0.996439,0.958651,0.958062,43.83
2,31,3.159e-05,0.017191,0.992866,0.088575,0.975937,0.976415,0.999034,0.996561,0.955326,0.957067,0.996416,0.952685,0.951874,44.08
2,32,2.871e-05,0.019076,0.993382,0.052274,0.983843,0.984019,0.99912,0.995186,0.972509,0.9731,0.995077,0.967936,0.967687,43.49
2,33,2.591e-05,0.018035,0.993554,0.042725,0.98625,0.986385,0.999405,0.996561,0.975945,0.976415,0.996491,0.972706,0.972499,44.47
2,34,2.321e-05,0.017305,0.994671,0.060675,0.983499,0.983673,0.998972,0.994498,0.972509,0.973082,0.994378,0.967233,0.966999,45.2
2,35,2.061e-05,0.012996,0.996476,0.076351,0.980062,0.980339,0.998812,0.994498,0.965636,0.966578,0.994338,0.960525,0.960124,44.54
2,36,1.813e-05,0.010619,0.996132,0.072162,0.980749,0.981017,0.998931,0.995186,0.966323,0.967246,0.995046,0.9619,0.961499,43.95
2,37,1.577e-05,0.012768,0.995445,0.070568,0.982468,0.982706,0.999066,0.996561,0.968385,0.969231,0.996464,0.96532,0.964937,43.86
2,38,1.355e-05,0.009924,0.996046,0.085634,0.978343,0.978723,0.999105,0.996561,0.960137,0.961513,0.996434,0.957322,0.956687,43.89
2,39,1.147e-05,0.011235,0.995617,0.075108,0.980749,0.981043,0.999005,0.996561,0.964948,0.966,0.996451,0.96198,0.961499,44.37
2,40,9.55e-06,0.008462,0.997422,0.070897,0.982124,0.982373,0.999176,0.996561,0.967698,0.968583,0.996461,0.964651,0.964249,43.3
2,41,7.78e-06,0.008751,0.996906,0.076493,0.980406,0.980685,0.999014,0.995186,0.965636,0.9666,0.995042,0.961232,0.960812,43.93
2,42,6.18e-06,0.009108,0.996906,0.07136,0.980749,0.981043,0.999187,0.996561,0.964948,0.966,0.996451,0.96198,0.961499,43.98
2,43,4.76e-06,0.006971,0.997851,0.065091,0.983156,0.983362,0.999075,0.995873,0.970447,0.97116,0.995769,0.966625,0.966312,43.68
3,1,9.99e-05,0.426649,0.804125,0.274054,0.887246,0.882437,0.954963,0.846048,0.928473,0.922097,0.857687,0.777149,0.774499,44.1
3,2,9.961e-05,0.316058,0.867469,0.234753,0.915779,0.919328,0.978816,0.95945,0.872077,0.882427,0.955539,0.83474,0.831552,43.81
3,3,9.911e-05,0.258738,0.896347,0.179337,0.929185,0.931743,0.983869,0.966323,0.892022,0.899552,0.963596,0.860743,0.858367,43.68
3,4,9.843e-05,0.221096,0.909841,0.146686,0.945686,0.945704,0.987355,0.945704,0.945667,0.945704,0.945667,0.891372,0.891372,43.75
3,5,9.755e-05,0.194352,0.919467,0.095074,0.964593,0.964762,0.99486,0.969072,0.96011,0.96049,0.968772,0.929222,0.929185,44.07
3,6,9.649e-05,0.169305,0.934852,0.100454,0.96803,0.968655,0.995814,0.987629,0.948418,0.950397,0.987115,0.936779,0.93606,43.46
3,7,9.524e-05,0.151473,0.941642,0.093364,0.96253,0.963435,0.996221,0.986942,0.938102,0.941022,0.986262,0.926163,0.925059,44.51
3,8,9.382e-05,0.130836,0.949635,0.084467,0.968718,0.969142,0.996656,0.982131,0.955296,0.956493,0.981625,0.937772,0.937435,43.93
3,9,9.222e-05,0.127857,0.951268,0.120647,0.951186,0.953197,0.997278,0.993814,0.908528,0.915769,0.993233,0.905666,0.902369,44.27
3,10,9.045e-05,0.107386,0.959862,0.078096,0.97353,0.973995,0.997075,0.991065,0.955983,0.957503,0.990734,0.947643,0.94706,43.99
3,11,8.853e-05,0.097169,0.963902,0.071135,0.97353,0.973995,0.998061,0.991065,0.955983,0.957503,0.990734,0.947643,0.94706,43.84
3,12,8.645e-05,0.089098,0.96777,0.115267,0.960468,0.961908,0.997664,0.997938,0.922971,0.928389,0.99777,0.92353,0.920933,44.46
3,13,8.423e-05,0.075658,0.971036,0.090437,0.97078,0.971467,0.997519,0.994502,0.947043,0.949475,0.994224,0.942621,0.94156,43.5
3,14,8.187e-05,0.073385,0.972841,0.050069,0.982124,0.982361,0.998755,0.995189,0.969051,0.969859,0.995056,0.964578,0.964249,44.11
3,15,7.939e-05,0.064575,0.974989,0.151136,0.951186,0.953381,0.997838,0.997938,0.904402,0.912634,0.997724,0.90634,0.902369,43.45
3,16,7.679e-05,0.063826,0.976622,0.146099,0.951186,0.953381,0.998238,0.997938,0.904402,0.912634,0.997724,0.90634,0.902369,43.8
3,17,7.409e-05,0.055808,0.978169,0.062558,0.980062,0.980405,0.998781,0.997251,0.962861,0.96412,0.997151,0.960691,0.960123,43.81
3,18,7.129e-05,0.051743,0.981693,0.142348,0.951873,0.953978,0.998153,0.997251,0.906465,0.914304,0.996974,0.907489,0.903744,43.45
